tprob,viterbi_nsuccess,posterior_nsuccess
0.001000,572,572
0.011474,611,610
0.105737,680,680
0.116211,684,683
0.126684,672,672
0.137158,670,669
0.147632,645,644
0.158105,668,667
0.168579,674,673
0.179053,683,683
0.189526,654,653
0.200000,674,673
0.021947,723,722
0.032421,673,672
0.042895,681,680
0.053368,698,697
0.063842,677,677
0.074316,679,679
0.084789,652,651
0.095263,629,628
